Model,Year,Value
Model A (NTL),2015,0.5054608438407073
Model A (NTL),2016,0.4867306369281449
Model A (NTL),2017,0.48002705890807906
Model A (NTL),2018,0.4651878337584331
Model A (NTL),2019,0.4617730551357073
Model A (NTL),2020,0.4835253578958758
Model A (NTL),2021,0.45453804600327696
Model A (NTL),2022,0.4492145423899022
Model A (NTL),2023,0.44489083011705244
Model A (NTL),2024,0.45040293335267534
Model B (NTL + NDVI + Forest Loss),2015,0.5644291710479359
Model B (NTL + NDVI + Forest Loss),2016,0.5569893621585429
Model B (NTL + NDVI + Forest Loss),2017,0.5881176275982715
Model B (NTL + NDVI + Forest Loss),2018,0.5593659892952623
Model B (NTL + NDVI + Forest Loss),2019,0.5480574486589289
Model B (NTL + NDVI + Forest Loss),2020,0.5662597453069552
Model B (NTL + NDVI + Forest Loss),2021,0.5479205866735999
Model B (NTL + NDVI + Forest Loss),2022,0.5082977206751625
Model B (NTL + NDVI + Forest Loss),2023,0.465159137907574
Model B (NTL + NDVI + Forest Loss),2024,0.5276073501444821
Model C (NTL + NDVI + Forest Loss + Chl-a),2015,0.5706312216717555
Model C (NTL + NDVI + Forest Loss + Chl-a),2016,0.5825758470926019
Model C (NTL + NDVI + Forest Loss + Chl-a),2017,0.6002896207485946
Model C (NTL + NDVI + Forest Loss + Chl-a),2018,0.5716581355224879
Model C (NTL + NDVI + Forest Loss + Chl-a),2019,0.5556226001316367
Model C (NTL + NDVI + Forest Loss + Chl-a),2020,0.5891506416438435
Model C (NTL + NDVI + Forest Loss + Chl-a),2021,0.5639552695248108
Model C (NTL + NDVI + Forest Loss + Chl-a),2022,0.565961422069337
Model C (NTL + NDVI + Forest Loss + Chl-a),2023,0.4722627716661877
Model C (NTL + NDVI + Forest Loss + Chl-a),2024,0.5362757618586067
Model A (NTL),Mean,0.46817511383298543
Model B (NTL + NDVI + Forest Loss),Mean,0.5432204139466715
Model C (NTL + NDVI + Forest Loss + Chl-a),Mean,0.5608383291929863
