Year,Min,Q1,Median,Mean,Q3,Max,SD,Range
2015,0.5583,0.5615,0.5656,0.5697,0.5789,0.5913,0.0095,0.033
2016,0.5661,0.5737,0.582,0.5879,0.6018,0.6163,0.0161,0.0502
2017,0.5761,0.5887,0.5955,0.6025,0.6224,0.6316,0.0175,0.0555
2018,0.5571,0.5603,0.5651,0.5701,0.5815,0.5921,0.0107,0.035
2019,0.5402,0.5456,0.5503,0.5556,0.5662,0.5787,0.011,0.0384
2020,0.5614,0.5829,0.5866,0.5902,0.5997,0.6189,0.0141,0.0575
2021,0.5319,0.556,0.5644,0.5645,0.575,0.5959,0.0156,0.064
2022,0.5312,0.5583,0.5681,0.5658,0.5744,0.5944,0.0146,0.0633
2023,0.452,0.4598,0.4633,0.4675,0.4752,0.4877,0.011,0.0357
2024,0.5108,0.5282,0.5332,0.5344,0.5422,0.5541,0.0106,0.0433
Total,0.5431,0.5523,0.5569,0.5608,0.573,0.5837,0.0119,0.0406
