regency_city_id,regency_city_name,type,province_id,province_name,geo_region,lon,lat,year,gdp_base_year,gdp,ndvi_sum,forest_loss_area_ha,chlor_a_sum_B150_D15,ntl_sum_unfiltered
71.01,Bolaang Mongondow,Kabupaten,71,Sulawesi Utara,Sulawesi,615565.4265816805,10078218.718154224,2015,2010,4139.1,9394.26,4365.81,465.84,1359
71.02,Minahasa,Kabupaten,71,Sulawesi Utara,Sulawesi,706750.8591582058,10138238.228709152,2015,2010,9349.47,1995.22,634.59,694.3,3451
71.03,Kepulauan Sangihe,Kabupaten,71,Sulawesi Utara,Sulawesi,782301.4459398756,10393067.299450729,2015,2010,2419.7,1514.32,19.17,247.93,117
71.04,Kepulauan Talaud,Kabupaten,71,Sulawesi Utara,Sulawesi,919902.7578844073,10468095.42999618,2015,2010,1319.04,3066.87,268.38,154.28,82
71.05,Minahasa Selatan,Kabupaten,71,Sulawesi Utara,Sulawesi,669005.7152904342,10119965.309296208,2015,2010,4863.5,4243.77,986.58,405.36,885
71.06,Minahasa Utara,Kabupaten,71,Sulawesi Utara,Sulawesi,723104.3130640343,10171216.239951802,2015,2010,7269.08,1706.7,1303.38,956.98,3895
71.07,Minahasa Tenggara,Kabupaten,71,Sulawesi Utara,Sulawesi,691020.5401810275,10111929.154630003,2015,2010,1320.2,2347.06,502.65,367.51,587
71.08,Bolaang Mongondow Utara,Kabupaten,71,Sulawesi Utara,Sulawesi,553015.9335814046,10084850.080020929,2015,2010,1223.2,4782.81,7933.32,666.08,418
71.09,Kepulauan Siau Tagulandang Biaro,Kabupaten,71,Sulawesi Utara,Sulawesi,766534.6863969989,10280893.496140905,2015,2010,2863.53,376.44,78.66,149.06,101
71.10,Bolaang Mongondow Timur,Kabupaten,71,Sulawesi Utara,Sulawesi,667978.3766134027,10079202.35994482,2015,2010,1039.39,2489.43,775.26,441.76,378
71.11,Bolaang Mongondow Selatan,Kabupaten,71,Sulawesi Utara,Sulawesi,603300.4662659519,10048984.567690678,2015,2010,1528.6,5380.82,1827.36,326.66,199
71.71,Manado,Kota,71,Sulawesi Utara,Sulawesi,705589.0141686883,10168637.939778479,2015,2010,19773.19,50.62,184.59,239,5389
71.72,Bitung,Kota,71,Sulawesi Utara,Sulawesi,740105.5347621009,10164786.75698806,2015,2010,9064.84,711.48,95.49,402.54,2581
71.73,Tomohon,Kota,71,Sulawesi Utara,Sulawesi,701949.2865663128,10147138.319343898,2015,2010,2464.34,274.73,91.71,0,1047
